adm0_name,iso3,X,Y,published,sources,info,optional1,optional2,optional3,ObjectId
Anguilla,AIA,-63.054596,18.214755,23.06.2020,"[https://www.gov.uk/foreign-travel-advice/anguilla]
[https://bb.usembassy.gov/covid-19-information/]","*****International restrictions: 
Under current regulations, in force until at least Tuesday 14 July, only the following categories of persons are allowed to enter Anguilla:
Anguillians, Persons with Anguilla Resident status, Holders of valid work permits.
All passengers arriving from outside the Caribbean will be quarantined for 14 days upon arrival; healthcare professional will decide if self-quarantine or in medical facility. 
There are currently no known restrictions on individuals seeking to depart the country. 
US citizens who are attempting to return to the US from the Eastern Caribbean and need assistance should complete the provided form for each person wishing to return to the US.  
The regular ferry service from Marigot Port (French St. Martin) to Blowing Point Ferry Port has been suspended until further notice. 

*****Internal restrictions:
On 29 April, most restrictions were lifted, however the government announced that from 30 April - 31 May, there are new temporary restrictions placed on public gatherings. During this time period, gatherings of 25 people or more are prohibited in both public and private places. Beach gatherings, recreational and professional sport events, and social or club gatherings are not allowed. However, the following are exempt from this rule: Work and company meetings, Church gatherings, and persons attending schools.  Non-essential businesses are permitted to reopen, however, people must still maintain a distance of 3 ft and establishments must have markings on the ground to control the social distance regulations. Violations of these rules will result in fines or imprisonment.",20200623,"Travellers to self-isolate for 14 day. The Health Authority of Anguilla are asking the public to call the COVID-19 inquiries hotline on + 1 264 476 7627 if they suspect they might have contracted the coronavirus. 
All persons arriving in Anguilla who have travelled outside of the Caribbean Region within the last 14 days will be quarantined for 14 days on their arrival. A judgement will be made on arrival by health professionals if this can be self-quarantine or in a government run health facility.",COVID-19 negative certification not required / not known,11
Antarctica,ATA,21.475857,-80.408977,,,,,,,12
Antigua and Barbuda,ATG,-61.799256,17.077306,26.06.2020,"[https://www.gov.uk/foreign-travel-advice/antigua-and-barbuda]
[https://bb.usembassy.gov/covid-19-information/]","*****International restrictions:
Health screening is in place at VC Bird International Airport for all international arrivals. The measures are subject to change but may include mandatory temperature and travel history checks, and “rapid testing” for Coronavirus. You should expect long waiting times on arrival. Visitors subject to a Coronavirus test on arrival must pay a fee of US$ 100 or local equivalent in cash. The local authorities may instruct you to enter government-provided quarantine, for which a further fee is payable, depending on the results of their screening and testing procedures. Those with pre-booked hotel accommodation will normally be permitted to travel to their accommodation after screening. Those staying with family, friends, or their own place of residence, must spend their first night in mandatory government quarantine and will be subject to an interview to determine their suitability to leave for their private accommodation arrangements. Those not deemed to have suitable private accommodation arrangements will be obliged to remain in government quarantine for between seven and 14 days.
All maritime vessels must enter Antigua and Barbuda via the Nevis Street Pier.
Until further notice, any non-Antigua and Barbuda national with a travel history in Canada, China, any country in Europe, Iran, South Korea, Japan, Singapore, and the USA within 28 days will not be permitted entry into Antigua and Barbuda.

*****Conditions and internal restrictions:
A State of Emergency is in place until 31 July. Under these measures: all persons must remain in their accommodation from 23:00 to 05:00 each day unless seeking urgent medical attention, face masks must be worn in any public place and must be worn for entry in to any supermarket or market, face masks must cover nose and mouth, leave eyes, forehead, and ears visible, and cannot be worn at the same time as head coverings or dark glasses, bars, gyms and in-house dining at restaurants that have passed government inspection are permitted to operate, retailers such as food and clothes shops, pharmacies, and hardware stores are allowed to operate between 05:00 and 21:00 public-facing government offices have restricted opening hours and visitors, beaches are open between 05:00 and 19:00 for exercise or relaxation only. During these hours picnics, music, drinking alcohol, and parties are prohibited. See Safety and Security – ‘Swimming’ for more information, no more than two people may travel in a motor vehicle at any one time if they are not of the same household. Members of the same household comprising more than two people may travel together in the same vehicle. Face masks must be worn in motor vehicles when there is more than one occupant, people under the age of 18 may only leave their homes if they are accompanied by a parent or legal guardian people may undertake exercise in open fields, at the side of roads, and play golf or tennis between 05:00 and 21:00 each day. They may be accompanied by members of their household, or by one other person if they are not of their household. All must observe a distance of six feet and wear face masks all social gatherings are prohibited. Churches are closed. Weddings, funerals, and baptism may take place but with no more than 25 participants all observing distances of six feet and wearing face masks. Failure to comply with the State of Emergency regulations will result in either a fine of up to XCD10,000 and/or six months imprisonment. The Antigua and Barbuda Emergency Medical Service are asking the public to call the COVID-19 inquiries hotline on 462 6843 if they suspect they might have contracted the virus, been exposed to or any other matters relating to the virus. The public are asked to call the hotline and not visit a healthcare facility unless instructed to.


",20200626,"Those staying with family, friends, or their own place of residence, must spend their first night in mandatory government quarantine and will be subject to an interview to determine their suitability to leave for their private accommodation arrangements. Those not deemed to have suitable private accommodation arrangements will be obliged to remain in government quarantine at their expense for between seven and 14 days.","COVID-19 negative certification required for entering the country. 

Passengers arriving in Antigua and Barbuda are subject to medical screening and must present a completed health declaration form.
",13
Argentina,ARG,-63.578123,-31.578414,25.06.2020,"[https://ar.usembassy.gov/covid-19/]
[https://www.gov.uk/foreign-travel-advice/argentina]","Government to resume international flights as soon as mid-August  (BA Times, 10.06.2020). Mandatory COVID-19 quarantine extended for Buenos Aires metro area until June 28 (TN.com, 04.06.2020)

*****Inbound restrictions: 
Argentina’s borders are closed to foreign nationals and non-residents entering the country. 
The borders remain open for departures. While the Argentine government is permitting a limited number of exceptional international flights, all scheduled domestic and international flights have been suspended until 1 September.
Those arriving are required to self-isolate for a period of 14 days. 

*****Outbound restrictions: 
The government of Argentina has implemented additional travel restrictions to limit the spread of COVID-19. Only travelers with confirmed international flight reservations may travel from the provinces to the Buenos Aires metro area 24 hours in advance of the flight.
There are currently no known restrictions on individuals seeking to depart the country, however, flights have been severely limited. The borders remain open for departures. However, all scheduled international flights have been suspended, although the government is permitting a limited number of exceptional international flights.

*****Conditions and internal restrictions: 
Argentina remains under a nationwide quarantine until midnight on 28 June. The restrictions imposed vary significantly between provinces. In the metropolitan area of Buenos Aires (including La Plata), Resistencia in the province of Chaco, the metropolitan area of Córdoba, Rawson in the province of Chubut and in Bariloche and General Roca in the province of Río Negro, you must stay in your accommodation. Anyone outside their accommodation without justification may be charged with committing a public health crime. You are, however, allowed to travel to an airport if you have a flight booked and you can make single person journeys to buy necessities, such as medicines or foodstuffs, in your local area. In the rest of the country, free movement is now permitted within each jurisdiction, provided that social distancing rules are adhered to. Social gatherings of up to 10 people are also allowed. In most parts of Argentina, you are still required to cover your nose and mouth with a facemask or other garment whenever you go out in public. There are various exceptions at a local level. In the city of Buenos Aires, some local businesses (such as bookshops, flower and clothes shops) have started reopening, allowing people to go out to make non-essential purchases based on the last digit of their ID card or passport. Those ending in even numbers are allowed to go out on even numbered dates and those ending in odd numbers are allowed to go out on odd numbered dates, Monday to Friday. From 8 June, you are also allowed to go out for exercise (running, walking, cycling), accompanied by just one other person, between 8pm and 8am. You do not need to cover your nose and mouth while you are exercising. There may be additional local restrictions. For example, the government of the City of Buenos Aires has urged those over the age of 70 not to leave their homes at all during the quarantine. You should check what measures have been introduced in your location. You could be subject to a financial penalty if you do not abide by local regulations.",20200625,"Any foreigner or resident who arrived in Argentina in the last 14 days from a country of active transmission must self-isolate and follow the required health measures. Anyone who does not follow the mandatory quarantine and the health measures may be subject to criminal penalties. The Argentine Ministry of Health has defined these areas as the United States, China, South Korea, Iran, Japan, Great Britain and Northern Ireland, Europe, Chile, and Brazil. The traveler may have to bear any costs associated with the 14-day quarantine period.
In addition, provincial authorities are introducing additional quarantine measures and travel restrictions with little prior notice. Please check the website of your province’s Ministry of Health for more details.","COVID-19 negative certification not required / not known. 

Enhanced screening for passengers arriving from affected countries. ",14
Armenia,ARM,44.938387,40.295005,25.06.2020,"[https://www.gov.uk/foreign-travel-advice/armenia]
[https://www.osac.gov/Content/Report/8758856f-821d-41c5-b360-18d5acf392aa]
[https://am.usembassy.gov/u-s-citizen-services/covid-19-information/]","Government extends state of emergency until 13 July, plans to permit resumption of international flights from mid-July (Reuters, 12.06.2020)

*****International Restrictions:
Armenia has suspended entry into the country of any traveler who is neither a citizen of Armenia, a member of the family of a citizen, or a lawful resident of Armenia.
Travelers who are permitted to enter Armenia are asked to complete health questionnaires and self-quarantine or self-monitor for 14 days, which may include self-isolation, quarantine or hospitalisation. 
Georgia and Armenia have agreed to close the land border between their countries for a 10-day period, however this restriction has been extended indefinitely. Citizens of Armenia or Georgia are permitted to return to their respective countries.  Similarly, the border between Iran and Armenia is closed to most travelers.  Some cargo deliveries are able cross the borders.

*****International restrictions:
On 12 June 2020, this State of Emergency was extended for an additional 30 days, through 13 July 2020. 

A state of emergency has been extended until 17.00, 13 June.  Most foreign travellers are banned from entering Armenia, regardless of the country they are travelling from or the point of entry into the country.  The following groups of travellers are exempt:  Armenian nationals and their family members. 
Permanent residents  Foreign diplomatic staff and assignees of intergovernmental organisations, as well as their family members Armenian citizens and foreigners are allowed to depart by air only.  The land borders with Georgia and Iran are closed, except for some cargo movement.  All air traffic with Russia has been suspended until further notice. Other air travel options remain severely limited.  All travellers arriving in Armenia must undergo medical screening at the port of entry and may be subject to isolation at a medical facility.
Travelers who are permitted to enter Armenia are asked to complete health questionnaires and self-quarantine or self-monitor for 14 days.
Georgia and Armenia have agreed to close the land border between their countries for a 10-day period, however this restriction has been extended indefinitely. Citizens of Armenia or Georgia are permitted to return to their respective countries.  Similarly, the border between Iran and Armenia is closed to most travelers.  Some cargo deliveries are able cross the borders.

*****Internal restrictions:
The Government of Armenia declared a nationwide State of Emergency, initially from 16 March until 13 July 2020. Actions include closure of schools and universities, prohibition of events with more than 10 persons in attendance, screening and quarantine measures, and restriction of entry into Armenia.
On 4 May the Government of Armenia lifted a number of the nationwide lockdown restrictions which had been in place since 24 March. Individual shops, outdoor restaurants/cafes and manufacturing industries are now able to operate, with restrictions governing social distancing and the wearing of facemasks. Schools and universities remain closed. You should follow the advice of the Armenian authorities on permitted activities. The Armenian authorities have also introduced a number of other emergency measures and restrictions, including a ban on public gatherings. You should follow the advice of local authorities.",20200625,"Travelers who are permitted to enter Armenia are asked to complete health questionnaires and self-quarantine or self-monitor for 14 days..
During the monitoring or quarantine period, health officials may check individuals’ condition.
Individuals exhibiting fever or other symptoms may be hospitalized for a further health assessment or treatment.",COVID-19 negative certification not required / not known,15
Aruba,ABW,-69.970272,12.50911,25.06.2020,"[https://cw.usconsulate.gov/news-events/covid-19-information/]
[https://www.aruba.com/us/traveler-health-requirements]
[https://www.gov.uk/foreign-travel-advice/aruba]","Commercial airline flights to the United States from Aruba are set to resume on July 10. (OSAC, 25.06.2020) 

*****International Restrictions:
As of June 10, 2020, the government of Aruba officially announced that the country would reopen its borders to inbound travel.
Aruba has announced some limited relaxations of those travel restrictions for travelers that can present a negative COVID-19 test and the purchase of health insurance that covers the traveler overseas (see links and contact info below in local resources):
Flights to and from Bonaire and Curacao will resume on 15 June 2020 through 9 July 2020; Flights to and from Canada, Europe, and some Caribbean nations will resume 1 July 2020; Flights to and from the United States will resume on 10 July 2020.

*****Outbound restrictions:
There are currently no known restrictions on individuals seeking to depart the country.

 *****Internal restrictions:
 While masks are not required in Aruba, visitors are strongly encouraged to have their masks at hand for situations where social distancing proves difficult.",20200625,"Effective March 29, the Government of Aruba has issued a “shelter in place” order indefinitely.  People cannot leave their homes, except very limited essential functions.
Additionally, a curfew is in effect from 10:00pm to 5:00am.  Violators of the curfew can be fined.","COVID-19 negative certification not required / not known. 

Upon arrival: 
- Mandatory online ED card with health self-declaration
- Mandatory COVID-19 insurance coverage for all non-residents
- Manual temperature check and short interview by Medical professionals
- 100% PCR testing upon arrival if there was no pre-submission on online ED card
- Passengers to remain in quarentine for 24 hours ot await results
- Positive cases will be isolated as per protocol
- Hand sanitizing upon arrival",16
Arunachal Pradesh,"IND, CHN",94.372447,28.128178,,,,,,,17
Ashmore and Cartier Islands,AUS,122.967269,-12.242967,,,,,,,18
Australia,AUS,134.3547,-25.5732,25.06.2020,"[https://covid19.homeaffairs.gov.au/frequently-asked-questions]
[https://au.usembassy.gov/covid-19-information/]
[https://www.gov.uk/foreign-travel-advice/australia]","Australians could be permitted to travel freely to New Zealand and vice-versa as soon as September. Under the proposal, Australian and New Zealand citizens will be allowed to travel between the two countries; without having to enter a mandatory quarantine.(Sam Chui, 28.05.2020) 
Australia will keep its international borders closed for at least three to four months to protect itself from the coronavirus pandemic. (Bloomberg, 23.04.2020) 
 
*****International Restrictions:
Only Australian citizens and returning permanent residents and their immediate family members are permitted to enter Australia without an exemption until further notice.

Travellers who have a compassionate or compelling reason to enter Australia can apply to the Australian authorities for an exemption. There are a limited number of categories for exemption.
You should provide as much documentary evidence as you can to support your application for an exemption. For further information on the exemption categories and documentation required, see the Department of Home Affairs website [https://immi.homeaffairs.gov.au/help-support/departmental-forms/online-forms/covid19-enquiry-form]. All travellers entering Australia need to undertake a mandatory 14-day quarantine at a designated facility (for example a hotel) at their port of arrival. This is arranged by State governments and is free of charge, except in: The Northern Territory.  Queensland: You may face a range of penalties for non-compliance with quarantine measures. 
 
*****Transit instructions: New Zealanders, citizens of Pacific Island Forum countries, Timor-Leste citizens and residents of New Caledonia or French Polynesia transiting through Australia on their way to New Zealand or a Pacific Island Forum Country do not require a transit exemption if they have booked a connecting flight to depart Australia within 72 hours of their arriving flight.  The outbound connecting flight must depart from the same state or territory of Australia as the arrival flight. If the connecting flight requires the traveller to spend longer than 72 hours in Australia they are not considered to be transiting and will need to apply online to the Commissioner of the ABF for an exemption from the travel restrictions. All other passengers will need to seek an exemption to be allowed to transit through Australia. 
  
*****Internal restrictions: 
Government plans to lift COVID-19 restrictions by July (Fox News, 08.05.2020). 
Travel between most States and Territories within Australia is currently restricted, though some restrictions are easing. You should check individual States and Territories websites for the latest information. The only States and Territories without current border restrictions are the Australian Capital Territory, New South Wales and Victoria. Others have either closed their borders or require anybody moving across internal borders to self-isolate for 14 days. Individual States and Territories websites provide information on current interstate travel restrictions.
Western Australia and Queensland borders are currently temporarily closed – you will need to apply for an exemption to cross into them from elsewhere in Australia. Exemptions are not needed for air transit if the flight originated elsewhere in Australia (for example flying from one State to another domestically to connect to an international flight back to the UK). All arrivals into the Northern Territory (domestic and international) are expected to pay for designated accommodation during their 14 day mandatory quarantine at an estimated cost of $2,500 - $5000.
Some States and Territories still have restrictions on intrastate travel to areas within their jurisdiction. You should check the individual States and Territories websites for further information.

Social distancing restrictions and other local measures are still in place across Australia with a number of variations. These are liable to change at short notice. Some states are revising restrictions on public gatherings. You should monitor State and Territory websites for the latest information where you are and comply with these measures and other advice from local authorities. These measures currently include:  restrictions on numbers of people at most non-work gatherings, in shops, cafes, restaurants and other places of public gathering, and on visitors to private residences; all members of the public are to keep at least 1.5m distance from others; restrictions on entering aged care homes; limits on local travel and advice to avoid public transport at peak hours. ",20200624,"All travelers entering Australia from overseas will be quarantined in a hotel or designated facility for 14 days. Travelers are required to undertake their mandatory 14-day self-isolation at their port of entry. Travelers will be transported directly to designated facilities as determined by the relevant state and territory government (for example, a hotel) after appropriate immigration, customs and enhanced health checks.
 
 State and local authorities are levying fines on individuals not following quarantine and self-isolation guidelines.","All passengers will be given an Isolation Declaration Card to sign by a border ocial, prior to the immigration point. Going forward, this card will be provided to airlines for distribution to passengers with the incoming passenger card. Health screening â€“ all arriving passengers and crew may be subject to health screening on arrival, regardless of countries visited whilst overseas.",19
Austria,AUT,14.141702,47.58705,25.06.2020,"[https://at.usembassy.gov/covid-19-information-february-25-2020/]
[https://www.gov.uk/foreign-travel-advice/austria]
[https://reopen.europa.eu/en]
","Innsbruck Airport resumes operations. (Media, 25.06.2020) 
Austria to open borders to Italy, 20+ European countries (Reuters, 09.06.2020)

*****International restrictions:
Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at. 
Third country nationals from outside the EU and Schengen area are prohibited from entering the country. You can find exceptions to this rule here: www.sozialministerium.at

*****Arrival by land:
Transit without further stops in Austria is allowed. Travelers from the following countries can enter or leave Austria without restrictions: Andorra, Belgium, Bulgaria, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Croatia, Latvia, Liechtenstein, Lithuania, Luxembourg , Malta, Monaco, Netherlands, Norway, Poland, Romania, San Marino, Switzerland, Slovakia, Slovenia, Spain, Czech Republic, Hungary, Vatican and Cyprus. You can find the latest provisions here: www.sozialministerium.at

*****Internal restrictions:
Measures are in place throughout Austria, affecting all areas of everyday life. Fabric face masks are compulsory on public transport, in pharmacies and doctors’ offices, and for services where social distancing is not possible (such as hairdressers’). People who do not live together must keep at least a metre apart from each other in public.",20200625,"From June 16, anyone who comes from any EU country except United Kingdom, Sweden, Spain and Portugal will be able to do so without a medical certificate and quarantine.
Entry to Austria without the need for a medical certificate or quarantine is possible for residents of Austria, Belgium, Bulgaria, Croatia, Cyprus, the Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, the Netherlands, Norway, Poland, Romania, Slovakia, Slovenia and Switzerland, who have spent the preceding 14 days only in those countries and not travelled elsewhere.","COVID-19 negative certification required for entering the country. 

Anyone entering Austria from a country for which the Austrian Foreign Ministry has a travel warning in place must be able to present at the border a medical certificate with micro-biological test results in English, French, German or Italian which is no more than 4 days old. 

Anyone arriving from these countries with a valid Austrian residence permit can enter Austria, but without a valid medical certificate will be required to self-isolate for 14 days. Coronavirus tests, which provide the medical certificate, are available for €190 on arrival at Vienna Airport for travellers with a valid Austrian residence permit.",20
